data,Курс,Месяц,День недели,День месяца
2022-06-01,61.6069,6,2,1
2022-06-02,61.4733,6,3,2
2022-06-03,61.575,6,4,3
2022-06-04,61.9659,6,5,4
2022-06-07,61.1094,6,1,7
2022-06-08,60.9565,6,2,8
2022-06-09,60.2282,6,3,9
2022-06-10,58.3895,6,4,10
2022-06-11,57.778,6,5,11
2022-06-15,57.0926,6,2,15
2022-06-16,56.6624,6,3,16
2022-06-17,56.8691,6,4,17
2022-06-18,56.7101,6,5,18
2022-06-21,56.1727,6,1,21
2022-06-22,54.7081,6,2,22
2022-06-23,53.2788,6,3,23
2022-06-24,53.3578,6,4,24
2022-06-25,53.3234,6,5,25
2022-06-28,53.3641,6,1,28
2022-06-29,52.9699,6,2,29
2022-06-30,51.158,6,3,30
2022-07-01,52.5123,7,4,1
2022-07-02,53.7676,7,5,2
2022-07-05,55.0858,7,1,5
2022-07-06,58.5118,7,2,6
2022-07-07,62.911,7,3,7
2022-07-08,63.1427,7,4,8
2022-07-09,61.2664,7,5,9
2022-07-12,61.3045,7,1,12
2022-07-13,58.8541,7,2,13
2022-07-14,58.5322,7,3,14
2022-07-15,58.2568,7,4,15
2022-07-16,57.8323,7,5,16
2022-07-19,56.5616,7,1,19
2022-07-20,55.437,7,2,20
2022-07-21,54.8491,7,3,21
2022-07-22,56.4783,7,4,22
2022-07-23,57.3917,7,5,23
2022-07-26,57.7821,7,1,26
2022-07-27,58.6605,7,2,27
2022-07-28,60.2198,7,3,28
2022-07-29,60.2031,7,4,29
2022-07-30,61.3101,7,5,30
2022-08-02,62.0506,8,1,2
2022-08-03,60.1595,8,2,3
2022-08-04,60.2374,8,3,4
2022-08-05,60.258,8,4,5
2022-08-06,60.3696,8,5,6
2022-08-09,60.3164,8,1,9
2022-08-10,60.3814,8,2,10
2022-08-11,60.4542,8,3,11
2022-08-12,60.6229,8,4,12
2022-08-13,60.8993,8,5,13
2022-08-16,61.3747,8,1,16
2022-08-17,61.4247,8,2,17
2022-08-18,60.7552,8,3,18
2022-08-19,59.957,8,4,19
2022-08-20,59.1321,8,5,20
2022-08-23,59.7419,8,1,23
2022-08-24,59.8963,8,2,24
2022-08-25,59.9974,8,3,25
2022-08-26,59.7699,8,4,26
2022-08-27,60.0924,8,5,27
2022-08-30,60.3636,8,1,30
2022-08-31,60.3677,8,2,31
2022-09-01,60.2386,9,3,1
2022-09-02,60.237,9,4,2
2022-09-03,60.3713,9,5,3
2022-09-06,60.9033,9,1,6
2022-09-07,60.8544,9,2,7
2022-09-08,61.1814,9,3,8
2022-09-09,60.801,9,4,9
2022-09-10,60.4696,9,5,10
2022-09-13,60.4568,9,1,13
2022-09-14,60.0676,9,2,14
2022-09-15,59.7751,9,3,15
2022-09-16,59.6663,9,4,16
2022-09-17,60.0316,9,5,17
2022-09-20,60.1662,9,1,20
2022-09-21,60.0158,9,2,21
2022-09-22,60.8685,9,3,22
2022-09-23,59.8318,9,4,23
2022-09-24,58.1006,9,5,24
2022-09-27,57.999,9,1,27
2022-09-28,58.1756,9,2,28
2022-09-29,58.4485,9,3,29
2022-09-30,57.413,9,4,30
2022-10-01,55.2987,10,5,1
2022-10-04,57.5664,10,1,4
2022-10-05,58.7913,10,2,5
2022-10-06,59.4043,10,3,6
2022-10-07,60.2534,10,4,7
2022-10-08,61.2475,10,5,8
2022-10-11,62.3126,10,1,11
2022-10-12,63.684,10,2,12
2022-10-13,63.7559,10,3,13
2022-10-14,63.4917,10,4,14
2022-10-15,63.0558,10,5,15
2022-10-18,61.7634,10,1,18
2022-10-19,61.7032,10,2,19
2022-10-20,61.5905,10,3,20
2022-10-21,61.5018,10,4,21
2022-10-22,61.1958,10,5,22
2022-10-25,61.1629,10,1,25
2022-10-26,61.3326,10,2,26
2022-10-27,61.4277,10,3,27
2022-10-28,61.3589,10,4,28
2022-10-29,61.5343,10,5,29
2022-11-01,61.6229,11,1,1
2022-11-02,61.4275,11,2,2
2022-11-03,61.6175,11,3,3
2022-11-04,62.0955,11,4,4
2022-11-08,61.2367,11,1,8
2022-11-09,60.9774,11,2,9
2022-11-10,61.0611,11,3,10
2022-11-11,61.2434,11,4,11
2022-11-12,60.2179,11,5,12
2022-11-15,60.3982,11,1,15
2022-11-16,60.3116,11,2,16
2022-11-17,60.3484,11,3,17
2022-11-18,60.3894,11,4,18
2022-11-19,60.3741,11,5,19
